
==================================================
========== FP-Tree 算法完整结果 ==========

Level 0 (频繁1项集):
总计: 2117 个频繁1项集
  [0]: 支持计数=177
  [32, 589]: 支持计数=228
  [32, 591]: 支持计数=118
  [32, 592]: 支持计数=257
  [32, 604]: 支持计数=224
  [32, 623]: 支持计数=99
  [32, 649]: 支持计数=146
  [32, 664]: 支持计数=140
  [32, 675]: 支持计数=118
  [32, 677]: 支持计数=266
  [32, 681]: 支持计数=134
  [32, 703]: 支持计数=133
  [32, 704]: 支持计数=97
  [32, 734]: 支持计数=95
  [32, 740]: 支持计数=167
  [32, 766]: 支持计数=128
  [32, 768]: 支持计数=94
  [32, 772]: 支持计数=166
  [32, 783]: 支持计数=194
  [32, 789]: 支持计数=161
  [32, 790]: 支持计数=120
  [32, 798]: 支持计数=92
  [32, 806]: 支持计数=138
  [32, 808]: 支持计数=93
  [32, 809]: 支持计数=132
  [32, 812]: 支持计数=182
  [32, 824]: 支持计数=262
  [32, 830]: 支持计数=97
  [32, 831]: 支持计数=91
  [32, 840]: 支持计数=91
  [32, 842]: 支持计数=93
  [32, 846]: 支持计数=130
  [32, 855]: 支持计数=91
  [32, 856]: 支持计数=103
  [32, 865]: 支持计数=140
  [32, 878]: 支持计数=104
  [32, 885]: 支持计数=107
  [32, 910]: 支持计数=137
  [32, 913]: 支持计数=109
  [32, 947]: 支持计数=111
  [32, 956]: 支持计数=209
  [32, 961]: 支持计数=131
  [32, 976]: 支持计数=142
  [32, 979]: 支持计数=102
  [32, 1004]: 支持计数=285
  [32, 1020]: 支持计数=101
  [32, 1043]: 支持计数=145
  [32, 1045]: 支持计数=97
  [32, 1046]: 支持计数=339
  [32, 1062]: 支持计数=91
  [32, 1066]: 支持计数=98
  [32, 1067]: 支持计数=148
  [32, 1080]: 支持计数=90
  [32, 1082]: 支持计数=90
  [32, 1103]: 支持计数=99
  [32, 1135]: 支持计数=193
  [32, 1144]: 支持计数=139
  [32, 1146]: 支持计数=340
  [32, 1198]: 支持计数=147
  [32, 1239]: 支持计数=105
  [32, 1327]: 支持计数=323
  [32, 1344]: 支持计数=172
  [32, 1355]: 支持计数=112
  [32, 1393]: 支持计数=231
  [32, 1404]: 支持计数=111
  [32, 1417]: 支持计数=101
  [32, 1435]: 支持计数=136
  [32, 1479]: 支持计数=107
  [32, 1481]: 支持计数=110
  [32, 1486]: 支持计数=100
  [32, 1578]: 支持计数=174
  [32, 1585]: 支持计数=107
  [32, 1600]: 支持计数=166
  [32, 1659]: 支持计数=98
  [32, 1677]: 支持计数=90
  [32, 1693]: 支持计数=103
  [32, 1704]: 支持计数=99
  [32, 1715]: 支持计数=156
  [32, 1783]: 支持计数=102
  [32, 1814]: 支持计数=129
  [32, 1859]: 支持计数=100
  [32, 1872]: 支持计数=126
  [32, 1973]: 支持计数=93
  [32, 1986]: 支持计数=109
  [32, 1987]: 支持计数=119
  [32, 2046]: 支持计数=125
  [32, 2051]: 支持计数=89
  [32, 2056]: 支持计数=97
  [32, 2115]: 支持计数=99
  [32, 2118]: 支持计数=118
  [32, 2135]: 支持计数=97
  [32, 2168]: 支持计数=103
  [32, 2199]: 支持计数=138
  [32, 2238]: 支持计数=358
  [32, 2254]: 支持计数=93
  [32, 2329]: 支持计数=116
  [32, 2343]: 支持计数=100
  [32, 2383]: 支持计数=118
  [32, 2437]: 支持计数=124
  [32, 2515]: 支持计数=105
  [32, 2879]: 支持计数=114
  [32, 2958]: 支持计数=189
  [32, 3270]: 支持计数=175
  [32, 3616]: 支持计数=157
  [32, 4336]: 支持计数=119
  [32, 8978]: 支持计数=137
  [32, 9501]: 支持计数=98
  [32, 10446]: 支持计数=141
  [32, 10515]: 支持计数=163
  [32, 10656]: 支持计数=89
  [32, 12925]: 支持计数=232
  [32, 12929]: 支持计数=171
  [32, 12935]: 支持计数=92
  [32, 12946]: 支持计数=97
  [32, 12959]: 支持计数=91
  [32, 13041]: 支持计数=225
  [32, 14098]: 支持计数=224
  [32, 14933]: 支持计数=105
  [32, 15618]: 支持计数=128
  [32, 15832]: 支持计数=231
  [32, 16010]: 支持计数=281
  [32, 16011]: 支持计数=146
  [32, 16217]: 支持计数=204
  [32, 16430]: 支持计数=101
  [36, 38]: 支持计数=2790
  [36, 39]: 支持计数=2037
  [36, 41]: 支持计数=700
  [36, 48]: 支持计数=1416
  [36, 65]: 支持计数=152
  [36, 89]: 支持计数=153
  [36, 110]: 支持计数=186
  [36, 170]: 支持计数=214
  [36, 225]: 支持计数=144
  [36, 237]: 支持计数=159
  [36, 310]: 支持计数=92
  [37, 38]: 支持计数=1046
  [37, 39]: 支持计数=707
  [37, 41]: 支持计数=247
  [37, 48]: 支持计数=565
  [38, 39]: 支持计数=10345
  [38, 41]: 支持计数=3897
  [38, 45]: 支持计数=165
  [38, 47]: 支持计数=432
  [38, 48]: 支持计数=7944
  [38, 49]: 支持计数=224
  [38, 55]: 支持计数=657
  [38, 56]: 支持计数=514
  [38, 60]: 支持计数=193
  [38, 65]: 支持计数=643
  [38, 76]: 支持计数=144
  [38, 78]: 支持计数=219
  [38, 79]: 支持计数=313
  [38, 80]: 支持计数=97
  [38, 89]: 支持计数=764
  [38, 101]: 支持计数=345
  [38, 103]: 支持计数=207
  [38, 105]: 支持计数=643
  [38, 107]: 支持计数=141
  [38, 110]: 支持计数=2725
  [38, 117]: 支持计数=132
  [38, 123]: 支持计数=201
  [38, 147]: 支持计数=328
  [38, 150]: 支持计数=97
  [38, 156]: 支持计数=178
  [38, 161]: 支持计数=218
  [38, 170]: 支持计数=3031
  [38, 175]: 支持计数=272
  [38, 178]: 支持计数=124
  [38, 179]: 支持计数=162
  [38, 185]: 支持计数=217
  [38, 201]: 支持计数=147
  [38, 225]: 支持计数=681
  [38, 229]: 支持计数=196
  [38, 237]: 支持计数=683
  [38, 242]: 支持计数=200
  [38, 249]: 支持计数=269
  [38, 251]: 支持计数=116
  [38, 255]: 支持计数=267
  [38, 258]: 支持计数=162
  [38, 260]: 支持计数=155
  [38, 261]: 支持计数=121
  [38, 264]: 支持计数=251
  [38, 267]: 支持计数=153
  [38, 269]: 支持计数=139
  [38, 270]: 支持计数=390
  [38, 271]: 支持计数=392
  [38, 272]: 支持计数=126
  [38, 279]: 支持计数=122
  [38, 281]: 支持计数=432
  [38, 286]: 支持计数=1116
  [38, 301]: 支持计数=140
  [38, 310]: 支持计数=433
  [38, 334]: 支持计数=110
  [38, 338]: 支持计数=184
  [38, 340]: 支持计数=124
  [38, 351]: 支持计数=116
  [38, 365]: 支持计数=95
  [38, 370]: 支持计数=362
  [38, 371]: 支持计数=767
  [38, 374]: 支持计数=97
  [38, 379]: 支持计数=120
  [38, 389]: 支持计数=211
  [38, 390]: 支持计数=354
  [38, 396]: 支持计数=114
  [38, 405]: 支持计数=131
  [38, 407]: 支持计数=109
  [38, 413]: 支持计数=297
  [38, 426]: 支持计数=92
  [38, 438]: 支持计数=389
  [38, 441]: 支持计数=102
  [38, 449]: 支持计数=114
  [38, 464]: 支持计数=104
  [38, 475]: 支持计数=393
  [38, 479]: 支持计数=139
  [38, 488]: 支持计数=119
  [38, 490]: 支持计数=90
  [38, 504]: 支持计数=245
  [38, 522]: 支持计数=129
  [38, 533]: 支持计数=235
  [38, 535]: 支持计数=112
  [38, 544]: 支持计数=112
  [38, 548]: 支持计数=206
  [38, 549]: 支持计数=111
  [38, 570]: 支持计数=145
  [38, 589]: 支持计数=170
  [38, 592]: 支持计数=185
  [38, 604]: 支持计数=195
  [38, 649]: 支持计数=151
  [38, 664]: 支持计数=172
  [38, 675]: 支持计数=104
  [38, 677]: 支持计数=173
  [38, 681]: 支持计数=127
  [38, 694]: 支持计数=106
  [38, 703]: 支持计数=112
  [38, 740]: 支持计数=221
  [38, 766]: 支持计数=102
  [38, 772]: 支持计数=108
  [38, 783]: 支持计数=154
  [38, 785]: 支持计数=106
  [38, 789]: 支持计数=99
  [38, 790]: 支持计数=508
  [38, 806]: 支持计数=216
  [38, 809]: 支持计数=92
  [38, 812]: 支持计数=99
  [38, 824]: 支持计数=172
  [38, 840]: 支持计数=379
  [38, 842]: 支持计数=98
  [38, 846]: 支持计数=103
  [38, 855]: 支持计数=119
  [38, 865]: 支持计数=97
  [38, 885]: 支持计数=94
  [38, 903]: 支持计数=99
  [38, 910]: 支持计数=106
  [38, 916]: 支持计数=105
  [38, 956]: 支持计数=162
  [38, 976]: 支持计数=118
  [38, 1004]: 支持计数=177
  [38, 1043]: 支持计数=108
  [38, 1067]: 支持计数=98
  [38, 1135]: 支持计数=150
  [38, 1144]: 支持计数=115
  [38, 1146]: 支持计数=306
  [38, 1188]: 支持计数=256
  [38, 1198]: 支持计数=90
  [38, 1209]: 支持计数=89
  [38, 1327]: 支持计数=347
  [38, 1344]: 支持计数=188
  [38, 1355]: 支持计数=125
  [38, 1393]: 支持计数=203
  [38, 1435]: 支持计数=100
  [38, 1479]: 支持计数=111
  [38, 1529]: 支持计数=295
  [38, 1543]: 支持计数=89
  [38, 1578]: 支持计数=169
  [38, 1590]: 支持计数=281
  [38, 1600]: 支持计数=120
  [38, 1714]: 支持计数=99
  [38, 1727]: 支持计数=162
  [38, 1814]: 支持计数=130
  [38, 1831]: 支持计数=252
  [38, 1842]: 支持计数=89
  [38, 1986]: 支持计数=142
  [38, 1987]: 支持计数=94
  [38, 2046]: 支持计数=99
  [38, 2199]: 支持计数=112
  [38, 2238]: 支持计数=407
  [38, 2241]: 支持计数=91
  [38, 2284]: 支持计数=103
  [38, 2383]: 支持计数=114
  [38, 2437]: 支持计数=120
  [38, 2505]: 支持计数=110
  [38, 2523]: 支持计数=109
  [38, 2749]: 支持计数=95
  [38, 2805]: 支持计数=212
  [38, 2958]: 支持计数=185
  [38, 3005]: 支持计数=195
  [38, 3270]: 支持计数=174
  [38, 3510]: 支持计数=92
  [38, 3616]: 支持计数=135
  [38, 3854]: 支持计数=94
  [38, 3904]: 支持计数=333
  [38, 5152]: 支持计数=96
  [38, 8978]: 支持计数=123
  [38, 10446]: 支持计数=93
  [38, 10515]: 支持计数=114
  [38, 12925]: 支持计数=294
  [38, 12929]: 支持计数=147
  [38, 12946]: 支持计数=91
  [38, 13041]: 支持计数=183
  [38, 14098]: 支持计数=181
  [38, 14933]: 支持计数=101
  [38, 15618]: 支持计数=117
  [38, 15832]: 支持计数=162
  [38, 16010]: 支持计数=221
  [38, 16011]: 支持计数=112
  [38, 16217]: 支持计数=193
  [39, 40]: 支持计数=131
  [39, 41]: 支持计数=11414
  [39, 43]: 支持计数=138
  [39, 44]: 支持计数=119
  [39, 45]: 支持计数=559
  [39, 47]: 支持计数=320
  [39, 48]: 支持计数=29142
  [39, 49]: 支持计数=768
  [39, 50]: 支持计数=153
  [39, 51]: 支持计数=137
  [39, 52]: 支持计数=320
  [39, 53]: 支持计数=351
  [39, 55]: 支持计数=452
  [39, 56]: 支持计数=364
  [39, 58]: 支持计数=94
  [39, 59]: 支持计数=96
  [39, 60]: 支持计数=983
  [39, 61]: 支持计数=110
  [39, 62]: 支持计数=281
  [39, 64]: 支持计数=117
  [39, 65]: 支持计数=2787
  [39, 66]: 支持计数=180
  [39, 67]: 支持计数=115
  [39, 68]: 支持计数=132
  [39, 69]: 支持计数=162
  [39, 75]: 支持计数=220
  [39, 76]: 支持计数=529
  [39, 77]: 支持计数=139
  [39, 78]: 支持计数=774
  [39, 79]: 支持计数=1111
  [39, 80]: 支持计数=316
  [39, 82]: 支持计数=165
  [39, 83]: 支持计数=133
  [39, 85]: 支持计数=126
  [39, 89]: 支持计数=2749
  [39, 91]: 支持计数=94
  [39, 94]: 支持计数=300
  [39, 95]: 支持计数=189
  [39, 96]: 支持计数=224
  [39, 98]: 支持计数=131
  [39, 101]: 支持计数=1400
  [39, 102]: 支持计数=102
  [39, 103]: 支持计数=512
  [39, 104]: 支持计数=152
  [39, 105]: 支持计数=455
  [39, 107]: 支持计数=426
  [39, 108]: 支持计数=128
  [39, 110]: 支持计数=1759
  [39, 116]: 支持计数=166
  [39, 117]: 支持计数=554
  [39, 123]: 支持计数=726
  [39, 127]: 支持计数=106
  [39, 128]: 支持计数=144
  [39, 129]: 支持计数=113
  [39, 133]: 支持计数=156
  [39, 136]: 支持计数=306
  [39, 141]: 支持计数=121
  [39, 147]: 支持计数=1137
  [39, 150]: 支持计数=364
  [39, 151]: 支持计数=158
  [39, 152]: 支持计数=113
  [39, 155]: 支持计数=347
  [39, 156]: 支持计数=582
  [39, 161]: 支持计数=622
  [39, 164]: 支持计数=179
  [39, 165]: 支持计数=160
  [39, 166]: 支持计数=180
  [39, 167]: 支持计数=148
  [39, 168]: 支持计数=208
  [39, 169]: 支持计数=177
  [39, 170]: 支持计数=2059
  [39, 171]: 支持计数=159
  [39, 175]: 支持计数=631
  [39, 176]: 支持计数=204
  [39, 178]: 支持计数=313
  [39, 179]: 支持计数=653
  [39, 184]: 支持计数=92
  [39, 185]: 支持计数=828
  [39, 186]: 支持计数=413
  [39, 189]: 支持计数=154
  [39, 192]: 支持计数=105
  [39, 193]: 支持计数=133
  [39, 195]: 支持计数=217
  [39, 197]: 支持计数=110
  [39, 199]: 支持计数=136
  [39, 200]: 支持计数=146
  [39, 201]: 支持计数=669
  [39, 203]: 支持计数=199
  [39, 204]: 支持计数=191
  [39, 205]: 支持计数=159
  [39, 206]: 支持计数=153
  [39, 207]: 支持计数=98
  [39, 208]: 支持计数=326
  [39, 209]: 支持计数=323
  [39, 211]: 支持计数=125
  [39, 213]: 支持计数=216
  [39, 215]: 支持计数=215
  [39, 220]: 支持计数=156
  [39, 222]: 支持计数=133
  [39, 225]: 支持计数=2351
  [39, 227]: 支持计数=151
  [39, 228]: 支持计数=109
  [39, 229]: 支持计数=503
  [39, 232]: 支持计数=200
  [39, 234]: 支持计数=185
  [39, 235]: 支持计数=197
  [39, 236]: 支持计数=124
  [39, 237]: 支持计数=1929
  [39, 242]: 支持计数=564
  [39, 243]: 支持计数=118
  [39, 244]: 支持计数=146
  [39, 246]: 支持计数=259
  [39, 248]: 支持计数=275
  [39, 249]: 支持计数=752
  [39, 250]: 支持计数=155
  [39, 251]: 支持计数=349
  [39, 255]: 支持计数=1057
  [39, 256]: 支持计数=188
  [39, 258]: 支持计数=628
  [39, 259]: 支持计数=374
  [39, 260]: 支持计数=428
  [39, 261]: 支持计数=349
  [39, 262]: 支持计数=192
  [39, 264]: 支持计数=599
  [39, 265]: 支持计数=106
  [39, 267]: 支持计数=407
  [39, 269]: 支持计数=441
  [39, 270]: 支持计数=1194
  [39, 271]: 支持计数=1434
  [39, 272]: 支持计数=446
  [39, 274]: 支持计数=128
  [39, 278]: 支持计数=171
  [39, 279]: 支持计数=401
  [39, 281]: 支持计数=288
  [39, 282]: 支持计数=158
  [39, 284]: 支持计数=95
  [39, 285]: 支持计数=152
  [39, 286]: 支持计数=750
  [39, 288]: 支持计数=90
  [39, 289]: 支持计数=135
  [39, 297]: 支持计数=356
  [39, 301]: 支持计数=715
  [39, 308]: 支持计数=170
  [39, 309]: 支持计数=211
  [39, 310]: 支持计数=1852
  [39, 314]: 支持计数=120
  [39, 317]: 支持计数=90
  [39, 319]: 支持计数=270
  [39, 320]: 支持计数=199
  [39, 325]: 支持计数=118
  [39, 331]: 支持计数=121
  [39, 334]: 支持计数=506
  [39, 337]: 支持计数=124
  [39, 338]: 支持计数=742
  [39, 340]: 支持计数=396
  [39, 341]: 支持计数=228
  [39, 342]: 支持计数=179
  [39, 344]: 支持计数=122
  [39, 345]: 支持计数=300
  [39, 346]: 支持计数=205
  [39, 347]: 支持计数=160
  [39, 348]: 支持计数=91
  [39, 350]: 支持计数=153
  [39, 351]: 支持计数=220
  [39, 352]: 支持计数=224
  [39, 357]: 支持计数=95
  [39, 364]: 支持计数=104
  [39, 365]: 支持计数=288
  [39, 368]: 支持计数=94
  [39, 370]: 支持计数=248
  [39, 371]: 支持计数=532
  [39, 374]: 支持计数=376
  [39, 379]: 支持计数=429
  [39, 382]: 支持计数=120
  [39, 384]: 支持计数=279
  [39, 388]: 支持计数=152
  [39, 389]: 支持计数=544
  [39, 390]: 支持计数=258
  [39, 392]: 支持计数=135
  [39, 393]: 支持计数=93
  [39, 396]: 支持计数=436
  [39, 397]: 支持计数=198
  [39, 398]: 支持计数=320
  [39, 399]: 支持计数=160
  [39, 402]: 支持计数=135
  [39, 405]: 支持计数=500
  [39, 406]: 支持计数=125
  [39, 407]: 支持计数=418
  [39, 408]: 支持计数=278
  [39, 412]: 支持计数=188
  [39, 413]: 支持计数=1130
  [39, 414]: 支持计数=188
  [39, 415]: 支持计数=243
  [39, 418]: 支持计数=293
  [39, 420]: 支持计数=340
  [39, 421]: 支持计数=120
  [39, 422]: 支持计数=91
  [39, 423]: 支持计数=164
  [39, 424]: 支持计数=201
  [39, 425]: 支持计数=396
  [39, 426]: 支持计数=334
  [39, 432]: 支持计数=286
  [39, 433]: 支持计数=197
  [39, 434]: 支持计数=133
  [39, 435]: 支持计数=96
  [39, 438]: 支持计数=1260
  [39, 440]: 支持计数=139
  [39, 441]: 支持计数=393
  [39, 442]: 支持计数=118
  [39, 444]: 支持计数=110
  [39, 445]: 支持计数=125
  [39, 447]: 支持计数=142
  [39, 448]: 支持计数=89
  [39, 449]: 支持计数=372
  [39, 460]: 支持计数=89
  [39, 464]: 支持计数=412
  [39, 467]: 支持计数=105
  [39, 475]: 支持计数=1500
  [39, 479]: 支持计数=580
  [39, 485]: 支持计数=122
  [39, 486]: 支持计数=127
  [39, 488]: 支持计数=389
  [39, 489]: 支持计数=154
  [39, 490]: 支持计数=279
  [39, 491]: 支持计数=186
  [39, 492]: 支持计数=164
  [39, 493]: 支持计数=147
  [39, 497]: 支持计数=200
  [39, 500]: 支持计数=123
  [39, 501]: 支持计数=117
  [39, 504]: 支持计数=196
  [39, 511]: 支持计数=161
  [39, 514]: 支持计数=271
  [39, 522]: 支持计数=648
  [39, 525]: 支持计数=123
  [39, 529]: 支持计数=149
  [39, 533]: 支持计数=922
  [39, 534]: 支持计数=215
  [39, 535]: 支持计数=400
  [39, 536]: 支持计数=160
  [39, 541]: 支持计数=98
  [39, 543]: 支持计数=175
  [39, 544]: 支持计数=524
  [39, 547]: 支持计数=254
  [39, 548]: 支持计数=663
  [39, 549]: 支持计数=492
  [39, 550]: 支持计数=154
  [39, 552]: 支持计数=156
  [39, 555]: 支持计数=101
  [39, 558]: 支持计数=122
  [39, 560]: 支持计数=127
  [39, 563]: 支持计数=163
  [39, 565]: 支持计数=156
  [39, 566]: 支持计数=129
  [39, 567]: 支持计数=94
  [39, 569]: 支持计数=90
  [39, 570]: 支持计数=558
  [39, 571]: 支持计数=322
  [39, 572]: 支持计数=93
  [39, 573]: 支持计数=118
  [39, 576]: 支持计数=170
  [39, 581]: 支持计数=368
  [39, 583]: 支持计数=154
  [39, 584]: 支持计数=107
  [39, 587]: 支持计数=156
  [39, 589]: 支持计数=708
  [39, 591]: 支持计数=289
  [39, 592]: 支持计数=723
  [39, 593]: 支持计数=131
  [39, 596]: 支持计数=143
  [39, 597]: 支持计数=209
  [39, 599]: 支持计数=134
  [39, 604]: 支持计数=775
  [39, 606]: 支持计数=144
  [39, 610]: 支持计数=182
  [39, 611]: 支持计数=165
  [39, 612]: 支持计数=149
  [39, 615]: 支持计数=130
  [39, 621]: 支持计数=95
  [39, 622]: 支持计数=177
  [39, 623]: 支持计数=315
  [39, 636]: 支持计数=99
  [39, 637]: 支持计数=95
  [39, 639]: 支持计数=155
  [39, 640]: 支持计数=227
  [39, 643]: 支持计数=208
  [39, 647]: 支持计数=112
  [39, 649]: 支持计数=531
  [39, 650]: 支持计数=138
  [39, 651]: 支持计数=156
  [39, 652]: 支持计数=205
  [39, 653]: 支持计数=192
  [39, 660]: 支持计数=131
  [39, 662]: 支持计数=169
  [39, 664]: 支持计数=481
  [39, 673]: 支持计数=172
  [39, 675]: 支持计数=414
  [39, 677]: 支持计数=635
  [39, 681]: 支持计数=422
  [39, 682]: 支持计数=188
  [39, 683]: 支持计数=99
  [39, 684]: 支持计数=168
  [39, 694]: 支持计数=267
  [39, 695]: 支持计数=103
  [39, 696]: 支持计数=96
  [39, 697]: 支持计数=200
  [39, 698]: 支持计数=127
  [39, 699]: 支持计数=91
  [39, 703]: 支持计数=453
  [39, 704]: 支持计数=279
  [39, 705]: 支持计数=95
  [39, 706]: 支持计数=153
  [39, 708]: 支持计数=178
  [39, 711]: 支持计数=157
  [39, 712]: 支持计数=90
  [39, 713]: 支持计数=141
  [39, 714]: 支持计数=91
  [39, 715]: 支持计数=217
  [39, 718]: 支持计数=180
  [39, 719]: 支持计数=91
  [39, 727]: 支持计数=241
  [39, 729]: 支持计数=91
  [39, 730]: 支持计数=241
  [39, 731]: 支持计数=122
  [39, 734]: 支持计数=255
  [39, 739]: 支持计数=117
  [39, 740]: 支持计数=759
  [39, 749]: 支持计数=137
  [39, 751]: 支持计数=193
  [39, 753]: 支持计数=157
  [39, 755]: 支持计数=115
  [39, 757]: 支持计数=184
  [39, 759]: 支持计数=153
  [39, 760]: 支持计数=155
  [39, 763]: 支持计数=123
  [39, 764]: 支持计数=194
  [39, 766]: 支持计数=470
  [39, 767]: 支持计数=162
  [39, 768]: 支持计数=188
  [39, 769]: 支持计数=136
  [39, 770]: 支持计数=96
  [39, 772]: 支持计数=406
  [39, 781]: 支持计数=104
  [39, 783]: 支持计数=640
  [39, 785]: 支持计数=222
  [39, 789]: 支持计数=447
  [39, 790]: 支持计数=364
  [39, 791]: 支持计数=115
  [39, 793]: 支持计数=312
  [39, 795]: 支持计数=156
  [39, 798]: 支持计数=290
  [39, 801]: 支持计数=117
  [39, 805]: 支持计数=193
  [39, 806]: 支持计数=493
  [39, 807]: 支持计数=99
  [39, 808]: 支持计数=283
  [39, 809]: 支持计数=404
  [39, 812]: 支持计数=471
  [39, 813]: 支持计数=134
  [39, 817]: 支持计数=182
  [39, 824]: 支持计数=703
  [39, 826]: 支持计数=96
  [39, 828]: 支持计数=130
  [39, 829]: 支持计数=214
  [39, 830]: 支持计数=256
  [39, 831]: 支持计数=314
  [39, 837]: 支持计数=133
  [39, 840]: 支持计数=251
  [39, 842]: 支持计数=263
  [39, 846]: 支持计数=328
  [39, 848]: 支持计数=106
  [39, 849]: 支持计数=141
  [39, 851]: 支持计数=129
  [39, 854]: 支持计数=94
  [39, 855]: 支持计数=325
  [39, 856]: 支持计数=291
  [39, 861]: 支持计数=92
  [39, 865]: 支持计数=382
  [39, 874]: 支持计数=96
  [39, 877]: 支持计数=109
  [39, 878]: 支持计数=344
  [39, 880]: 支持计数=132
  [39, 885]: 支持计数=354
  [39, 887]: 支持计数=138
  [39, 892]: 支持计数=112
  [39, 896]: 支持计数=120
  [39, 899]: 支持计数=99
  [39, 903]: 支持计数=264
  [39, 905]: 支持计数=105
  [39, 907]: 支持计数=194
  [39, 910]: 支持计数=322
  [39, 911]: 支持计数=144
  [39, 913]: 支持计数=336
  [39, 914]: 支持计数=117
  [39, 915]: 支持计数=109
  [39, 916]: 支持计数=350
  [39, 921]: 支持计数=188
  [39, 924]: 支持计数=151
  [39, 925]: 支持计数=165
  [39, 926]: 支持计数=156
  [39, 927]: 支持计数=183
  [39, 932]: 支持计数=166
  [39, 938]: 支持计数=165
  [39, 939]: 支持计数=132
  [39, 942]: 支持计数=106
  [39, 947]: 支持计数=324
  [39, 956]: 支持计数=600
  [39, 958]: 支持计数=107
  [39, 959]: 支持计数=96
  [39, 961]: 支持计数=331
  [39, 966]: 支持计数=108
  [39, 968]: 支持计数=115
  [39, 973]: 支持计数=93
  [39, 974]: 支持计数=111
  [39, 976]: 支持计数=471
  [39, 978]: 支持计数=273
  [39, 979]: 支持计数=332
  [39, 981]: 支持计数=103
  [39, 983]: 支持计数=91
  [39, 984]: 支持计数=226
  [39, 986]: 支持计数=95
  [39, 987]: 支持计数=157
  [39, 989]: 支持计数=198
  [39, 993]: 支持计数=197
  [39, 1000]: 支持计数=245
  [39, 1001]: 支持计数=162
  [39, 1003]: 支持计数=252
  [39, 1004]: 支持计数=583
  [39, 1010]: 支持计数=193
  [39, 1012]: 支持计数=123
  [39, 1013]: 支持计数=162
  [39, 1014]: 支持计数=157
  [39, 1015]: 支持计数=92
  [39, 1016]: 支持计数=137
  [39, 1020]: 支持计数=284
  [39, 1023]: 支持计数=124
  [39, 1024]: 支持计数=91
  [39, 1025]: 支持计数=113
  [39, 1026]: 支持计数=168
  [39, 1027]: 支持计数=221
  [39, 1031]: 支持计数=90
  [39, 1034]: 支持计数=157
  [39, 1035]: 支持计数=103
  [39, 1043]: 支持计数=342
  [39, 1046]: 支持计数=170
  [39, 1052]: 支持计数=206
  [39, 1053]: 支持计数=90
  [39, 1055]: 支持计数=130
  [39, 1060]: 支持计数=153
  [39, 1062]: 支持计数=268
  [39, 1063]: 支持计数=131
  [39, 1066]: 支持计数=236
  [39, 1067]: 支持计数=332
  [39, 1071]: 支持计数=122
  [39, 1072]: 支持计数=154
  [39, 1080]: 支持计数=183
  [39, 1081]: 支持计数=210
  [39, 1082]: 支持计数=196
  [39, 1085]: 支持计数=133
  [39, 1090]: 支持计数=91
  [39, 1096]: 支持计数=152
  [39, 1103]: 支持计数=252
  [39, 1104]: 支持计数=167
  [39, 1105]: 支持计数=92
  [39, 1113]: 支持计数=248
  [39, 1115]: 支持计数=119
  [39, 1120]: 支持计数=99
  [39, 1121]: 支持计数=257
  [39, 1123]: 支持计数=94
  [39, 1124]: 支持计数=91
  [39, 1126]: 支持计数=246
  [39, 1130]: 支持计数=101
  [39, 1135]: 支持计数=458
  [39, 1143]: 支持计数=178
  [39, 1144]: 支持计数=344
  [39, 1145]: 支持计数=115
  [39, 1146]: 支持计数=983
  [39, 1158]: 支持计数=242
  [39, 1160]: 支持计数=156
  [39, 1161]: 支持计数=124
  [39, 1163]: 支持计数=141
  [39, 1166]: 支持计数=130
  [39, 1172]: 支持计数=176
  [39, 1178]: 支持计数=99
  [39, 1180]: 支持计数=119
  [39, 1183]: 支持计数=136
  [39, 1184]: 支持计数=134
  [39, 1185]: 支持计数=205
  [39, 1188]: 支持计数=176
  [39, 1192]: 支持计数=111
  [39, 1196]: 支持计数=192
  [39, 1198]: 支持计数=407
  [39, 1209]: 支持计数=220
  [39, 1214]: 支持计数=230
  [39, 1215]: 支持计数=119
  [39, 1219]: 支持计数=106
  [39, 1232]: 支持计数=140
  [39, 1233]: 支持计数=120
  [39, 1239]: 支持计数=350
  [39, 1249]: 支持计数=151
  [39, 1257]: 支持计数=256
  [39, 1269]: 支持计数=194
  [39, 1275]: 支持计数=141
  [39, 1277]: 支持计数=241
  [39, 1280]: 支持计数=169
  [39, 1281]: 支持计数=178
  [39, 1282]: 支持计数=195
  [39, 1286]: 支持计数=101
  [39, 1290]: 支持计数=108
  [39, 1291]: 支持计数=170
  [39, 1294]: 支持计数=167
  [39, 1308]: 支持计数=184
  [39, 1311]: 支持计数=110
  [39, 1313]: 支持计数=250
  [39, 1315]: 支持计数=124
  [39, 1318]: 支持计数=153
  [39, 1327]: 支持计数=1156
  [39, 1332]: 支持计数=136
  [39, 1333]: 支持计数=187
  [39, 1342]: 支持计数=138
  [39, 1343]: 支持计数=94
  [39, 1344]: 支持计数=485
  [39, 1345]: 支持计数=155
  [39, 1354]: 支持计数=104
  [39, 1355]: 支持计数=313
  [39, 1360]: 支持计数=204
  [39, 1361]: 支持计数=261
  [39, 1368]: 支持计数=96
  [39, 1372]: 支持计数=156
  [39, 1378]: 支持计数=159
  [39, 1379]: 支持计数=196
  [39, 1380]: 支持计数=140
  [39, 1387]: 支持计数=118
  [39, 1390]: 支持计数=135
  [39, 1393]: 支持计数=789
  [39, 1395]: 支持计数=149
  [39, 1396]: 支持计数=100
  [39, 1404]: 支持计数=273
